word,pos,profile,definition,example,unit
flower,noun,A1,"the attractive, coloured part of a plant where the seeds grow",a bunch of flowers,Unit 05
football match,noun,A2,a game of football,I  want to go to a football match tomorrow. ,Unit 10
for (+ period of time / distance),preposition,A1,used to show an amount of time or distance,I've been with the sales team at CSP for three months.,Unit 02
for (+ person who receives sthg),preposition,A1,to be given to or used by someone or something,I'm sure we'll have a job for you.,Unit 02
for (+ reason),preposition,A2,because of something,Simply give us your CV and come in for an interview.,Unit 02
foreigner,noun,B1,someone from another country,He was the ﬁrst foreigner to achieve this.,Unit 12
forgotten,verb,A2,PAST PARTICIPLE of forget,I’ve forgotten your email address.,Unit 09
found,verb,A1,PAST of find,I've found a new job.,Unit 09
free,adjective,A2,not busy doing anything,Are you free on Thursday evening?,Unit 10
free,adjective,A2,not costing any money,Free health care,Unit 02
freezing,adjective,B1,very cold,The weather here's freezing.,Unit 05
fresh,adjective,A2,Fresh food has been made or collected recently and has not been frozen or dried.,fresh fruit/vegetables,Unit 03
fried,adjective,A2,cooked in hot oil or fat,a fried egg,Unit 03
friendly,adjective,A2,"behaving in a pleasant, kind way towards someone",a friendly face/smile,Unit 03
frightened,adjective,B1,afraid or nervous,I've always been frightened of going to the dentist.,Unit 09
frozen,adjective,B1,Frozen food has been made so that it will last a long time by freezing,frozen food,Unit 03
fruit,noun,A1,"things such as apples or oranges that grow on a tree or a bush, contain seeds, and can be eaten as food",dried/fresh fruit,Unit 03
fruit salad,noun,,"a mixture of pieces of different types of fruit, which is usually served at the end of a meal",Fresh fruit salad with cream,Unit 03
fry,verb,B1,to cook something in hot oil,Fry the onions in a little butter.,Unit 03
full price,phrase,A2,the normal price of something and not a special lower price,It was on sale so I didn't pay the full price.,Unit 08
funny,adjective,A1,making you smile or laugh,a funny story,Unit 09
furious,adjective,B2,very angry,My boss was furious with me.,Unit 09
gadget,noun,,a small piece of equipment that does a particular job,a kitchen gadget,Unit 13
garden,noun,A1,"an area of ground next to a house, often with grass, flowers, or trees",the front/back garden,Unit 11
garlic,noun,A2,a vegetable like a small onion with a very strong taste and smell,Chicken in garlic sauce,Unit 03
gas,noun,A2,a substance in a form which is like air and is used for cooking and burning,a gas cooker,Unit 07
gather ,verb,B2,"to join other people somewhere to make a group, or to bring people together into a group",We all gathered in front of the TV.,Unit 12
generally,adverb,B1,usually or mostly,Then I generally have breakfast and a shower.,Unit 06
geography,noun,A2,"the study of all the countries of the world, and of the surface of the Earth such as the mountains and seas",I've done a geography course.,Unit 02
gesture,noun,,"a movement you make with your hand, arm, or head to show what you are thinking or feeling",He made a rude gesture at the crowd.,Unit 09
get back,phrasal verb,A1,to return to a place after you have been somewhere else,What's the first thing you do when you get back home?,Unit 04
get into,phrasal verb,B2,to succeed in being chosen or elected for a position in a school or other organization,I got into the School of Art and Design in Limoges.,Unit 02
get into,phrasal verb,,"to become interested in an activity or subject, or start being involved in an activity",I really got into motorbikes when I was a teenager.,Unit 01
gift,noun,A2,"something that you give to someone, usually for a particular occasion",a birthday/wedding gift,Unit 05
girl,noun,A1,a female child or young woman,We have three children - a boy and two girls.,Unit 01
give,verb,A1,to put something in someone's hand so that they can use it or look at it,I could give you eighty.,Unit 02
give up,phrasal verb,B1,"If you give up a habit, such as smoking, or something such as alcohol, you stop doing it or using it",Your friend is trying to give up smoking.,Unit 11
given,verb,A1,PAST PARTICIPLE of give,They were given to me by my mother.,Unit 08
glass,noun,A1,"a hard, clear substance that objects such as windows and bottles are made of",broken glass,Unit 08
glove,noun,A2,a piece of clothing which covers your fingers and hand,a pair of gloves,Unit 14
go (+ ing),verb,A2,to move or travel somewhere in order to do something,I go running every morning.,Unit 01
go back,phrasal verb,B1,to return,They were going back to Canada.,Unit 04
go out with,phrasal verb,B1,to have a romantic and usually sexual relationship with someone,Steve's going out with Erika now.,Unit 03
good,adjective,A1,enjoyable or nice,a good book,Unit 06
good,noun,B2,something that is an advantage or help to a person or situation,It's hard work but it's for your own good.,Unit 06
good,adjective,A1,successful or able to do something well,I'm good at working in a team.,Unit 02
idea,noun,A2,a suggestion or plan for doing something,Good idea!,Unit 01
got,verb,A1,PAST of get,I got my first calculator when I was about eleven.,Unit 13
govern,verb,B2,to officially control a country,In the past it was governed by Britain.,Unit 12
government,noun,B1,the group of people who officially control a country,The Government has cut taxes.,Unit 12
great,adjective,A1,very good,That's great!,Unit 01
green salad,noun,A2,a salad which consists of lettuce and other raw green vegetables,Grilled salmon with potatoes and green salad,Unit 03
grill,noun,B1,a frame of metal bars over a fire on which food can be put to be cooked,Cook meat and vegetables on different grills.,Unit 03
grill,verb,B1,to cook food using direct heat,Grill the fish for 2 to 3 minutes on each side.,Unit 03
group,noun,A1,a number of people or things that are put together or considered as a unit,It's a group of islands in the Pacific Ocean.,Unit 12
guidebook,noun,A2,a book that gives visitors information about a particular place,Have you got a guidebook?,Unit 07
habit,noun,B1,"something that you often do, almost without thinking about it",I got into the habit of having biscuits with my coffee.,Unit 06
had,verb,A2,have,Who's the best teacher you've ever had?,Unit 02
hailstone,noun,,a small hard ball of ice which falls from the sky like rain; a piece of hail,The largest hailstone fell in Bangladesh in 1986.,Unit 06
hairdryer,noun,B1,a piece of electrical equipment for drying your hair with hot air,I have a hairdryer but I hardly ever use it.,Unit 14
hang on,phrasal verb,B1,to wait for a short time,Hang on a minute.,Unit 01
happy,adjective,A2,satisfied and not worried,I'm not very happy with the view.,Unit 03
hardly ever,phrase,B1,almost never,I have one but I hardly ever use it.,Unit 13
have,verb,A1,to own something,We have a cat.,
have,verb,A1,to eat or drink something,have breakfast,Unit 03
have got,verb,A1,to own or possess,Have you got a map?,Unit 07
have time,phrase,B1,to have enough time to do something,"At that speed, you don't have time to think.",Unit 13
have to ,verb,A2,to need or be forced,You have to go to school until you're 17.,Unit 05
head,noun,B1,the person who is in charge of an organization,The Pope is also the head of the Catholic Church.,Unit 12
head of state,noun,,the official leader of a country,Who's the head of state in your country?,Unit 12
health,noun,A2,the condition of your body,health and fitness,Unit 14
health care,noun,,the set of services provided by a country or an organization for treating people who are ill,I get free health care.,Unit 02
health club,noun,,a place where members can go to do physical exercise,I'm a member of a health club.,Unit 10
hear,verb,B1,to be told some information,I'm sorry to hear that,Unit 09
heater,noun,B1,a machine that heats air or water,Solar heaters are very popular in the South of India.,Unit 14
heavy,adjective,B1,large in amount or degree,heavy traffic,Unit 06
"Hello …,",exclamation,A1,said when you meet someone or start talking with someone,"Hello Cameron, …",Unit 01
help,verb,B2,to make something easier or better,It helps me to relax after a long day at work.,Unit 08
herb,noun,B1,a plant that is used in cooking to add flavour to food,Add water and some herbs.,Unit 03
"Hi …,",exclamation,A1,hello,"Hi Cameron, ….",Unit 01
historical,adjective,B1,relating to the past,historical documents,Unit 07
history,noun,A2,the study of events in the past,a history book,Unit 01
hockey,noun,A2,a game which two teams play in which a small ball is hit with a long stick,"When I was at college, I played hockey.",Unit 01
holiday,noun,A1,a time when you do not have to go to work or school,I get four weeks' holiday a year.,Unit 02
home-made,adjective,,made at home and not bought from a shop,Home-made pasta in a tomato and olive sauce.,Unit 03
Hope …,verb,A2,to want something to happen or be true,Hope you had a great time.,Unit 09
hormone,noun,,one of many chemicals made in your body that make the body grow and develop,"When people cry, their bodies make a lot of hormones.",Unit 09
hot,adjective,A1,very warm,a hot summer's day,Unit 06
hot spring,noun,,a place where hot water naturally comes out of the ground,Having a hot spring bath in Japan,Unit 05
hour,noun,A1,a period of time equal to sixty minutes,3.5 hours from Sydney,Unit 11
household,noun,B2,a family or group of people who live together in a house,some household chores,Unit 06
housework,noun,B1,the work that you do to keep your house clean,I can't stand doing housework.,Unit 09
how,conjunction,A2,used to talk about the way something happens or is done,I learned how to play the steel drum when I was a little girl. ,Unit 01
How about …?,phrase,A2,used to make a suggestion,How about a fruit salad?,Unit 01
How much …?,adverb,A1,used to ask about quantity,How much is that?,Unit 05
hungry,adjective,A1,wanting or needing food,I'm hungry. What's for dinner?,Unit 09
hurricane,noun,,a violent storm with very strong winds,Our house was damaged in the hurricane.,Unit 06
hurt,verb,A2,to cause someone pain or to injure them,Simon hurt his knee playing football.,Unit 14
I (don't) think …,phrase,A1,used to introduce a suggestion or explanation in order to be polite,I think small shops are better.,Unit 03
I guess,phrase,B1,used when you think that something is probably true or likely,I guess it's worth a lot of money.,Unit 14
remember,verb,A1,"If you remember a fact or something from the past, you keep it in your mind, or bring it back into your mind.",I remember getting my first Sony Walkman.,Unit 13
I suppose,phrase,A2,used to show that you are not certain or not completely happy about something,"I haven't thought about it a lot, but I suppose it should be moved.",Unit 14
I suppose so.,phrase,B1,used to show agreement to something when you do not really want to,"Can I come with you? ""I suppose so.""",Unit 01
I'm (really) sorry.,phrase,B2,used to show politeness when refusing something or disagreeing,I'm sorry but I think you've made a mistake.,Unit 09
ice cream,noun,A1,"a sweet, cold food made from frozen milk",vanilla ice cream,Unit 03
icy,adjective,B1,covered in ice,icy roads,Unit 06
ID card,noun,A2,an identity card,You don’t have to carry an ID card.,Unit 05
ideal,adjective,B2,"perfect, or the best possible",What would be your ideal job?,Unit 02
idea,noun,B1,opinion or belief,One idea is that the most important reason for laughing is to make other people feel good.,Unit 09
if (+ past simple) ... would(n't) …,conjunction,B1,used to say that something will happen only after something else happens or is true,"If you had a computer, your life would be a lot easier.",Unit 14
if (+ present) … might …,conjunction,A2,used to talk about something that might happen or be true,"If you want to eat here, you might have to book in advance.",Unit 07
if (+ present) … should …,conjunction,A2,used to talk about something that might happen or be true,"If you visit in the summer, you should go to the house in the evening.",Unit 07
if (+ present) … will …,conjunction,A2,used to say that something will happen only after something else happens or is true,"If you're interested in art, you'll love the Van Gogh Museum.",Unit 07
"If you ask me, …",idiom,,said when giving your opinion on something,"If you ask me, they're only interested in making money.",Unit 03
illustrate,verb,B2,to draw pictures for a book,The pages are illustrated.,Unit 08
important,adjective,A1,"valuable, useful, or necessary",My family is very important to me.,Unit 06
in a hurry,noun,B1,"If you are in a hurry, you want or need to do something quickly.",I'm in a hurry to get where I'm going.,Unit 13
in addition,phrase,B1,added to what already exists,"In addition, I emailed your office on December 12, but …",Unit 11
"In fact, …",phrase,B1,used to emphasise what is really true,"In fact, I'd really like to live here.",Unit 04
in touch,phrase,B1,"If you are in touch with someone, you regularly communicate with them by telephoning, emailing, etc.",Are you still in touch?,Unit 10
included,adjective,A2,part of something else,Is internet access included?,Unit 10
inconvenient,adjective,B2,causing problems,It is very inconvenient living so far away from the shops.,Unit 03
increase,verb,B1,to get bigger or to make something bigger,Smoking increases the risk of serious illnesses.,Unit 14
incredible,adjective,B1,very large in amount or high in level,She earned an incredible amount of money.,Unit 01
independent,adjective,B2,An independent country is not governed or ruled by any other country.,The smallest independent country in the world.,Unit 12
information,noun,A2,"facts about a situation, person, event, etc",Do you have any information about art galleries?,Unit 07
ingredient,noun,B1,one of the different foods that a particular type of food is made from,I don't have the ingredients for a cake.,Unit 03
insect,noun,A2,"a small creature with six legs, for example a bee or a fly",There are lots of insects so remember to buy  insect spray.,Unit 05
insect spray,noun,B2,a spray (=liquid in a container which forces it out in small drops) that you use to keep insects away,There are lots of insects so remember to buy  insect spray.,Unit 05
inside,adverb,A2,"in or into a room, building, or container",Don't wear your shoes inside.,Unit 05
instrument,noun,A2,"an object that is used for playing music, for example a piano",An insturment called the steel drum.,Unit 01
interest,noun,B2,the money you earn from keeping your money in a bank account,They pay about 16 percent interest a year.,Unit 05
interested in ,adjective,A2,wanting to give your attention to something,I'm interested in art.,
interesting,adjective,A1,keeping your attention,an interesting person,Unit 03
internet access,?noun,B1,the equipment and systems that allow you to use the Internet,Each room has internet access.,Unit 10
interview,noun,B1,a meeting in which someone asks you questions to see if you are suitable for a job or course,I had an interview last week for a job in London.,Unit 02
into,preposition,B1,enthusiastic about or interested in,I'm not really into reggae.,Unit 01
invite,verb,A1,"to ask someone to come to your house, to a party, etc.",They've invited us to the wedding.,Unit 10
ironing,noun,B1,the activity of making clothes smooth using an iron (=a piece of electrical equipment),John was doing the ironing.,Unit 06
island,noun,A2,an area of land that has water around it,It's an island in the South Pacific.,Unit 12
it (for things mentioned earlier),pronoun,A1,"used to mean the thing, situation, or idea that has already been talked about",The water's quite hot so you shouldn't stay in it for too long.,Unit 05
it (for times and dates),pronoun,A2,"used with the verb 'be' in sentences giving the time, date, weather or distances",It was my birthday.,Unit 05
it (for weather and temperature),pronoun,A2,"used with the verb 'be' in sentences giving the time, date, weather or distances",It was hot and sunny.,Unit 05
IT (information technology),noun,A2,the use of computers and other electronic equipment to keep and send information,IT skills,Unit 02
It depends.,phrase,B1,it is not decided yet,"Are you going to Emma's party? ""I don't know, it depends - we might be going away that weekend.""",Unit 05
It doesn't matter.,phrase,A2,to be important or to affect what happens,it doesn't really matter,Unit 05
Italy,noun,,a country in Europe,It’s in Rome in Italy.,Unit 12
job agency,noun,B1,a company that finds work for people in return for payment,An interview at a job agency.,Unit 02
join,verb,A2,to become a member of an organization,He flew to Japan to join Azumazeki's stable.,Unit 12
just (= a short time ago),adverb,A2,a very short time ago,I've just started a new job.,Unit 09
"just (= only, simply)",adverb,B1,only,Could I just leave a message?,Unit 09
just as … as ,phrase,B1,at the same time as,Helsinki is just as cold as Moscow.,Unit 06
just looking,phrase,,"said to a person working in a shop when they offer to help you but you want to continue looking at the goods on your own

","I'm just looking, thanks.",Unit 08
karate,noun,,a sport from Japan in which people fight with the hands or feet,"When I was at college, I played karate.",Unit 01
kid,noun,B1,a child,It started when I was a kid.,Unit 01
kilo(gram) / kg,noun,A2,"a unit for measuring weight, equal to 1000 grams",It weighed 1 kg.,Unit 06
kilometre / km,noun,A2,"a unit for measuring distance, equal to 1000 metres",They can be up to 18 km high.,Unit 06
kind,noun,A1,a type of thing or person,It's a kind of book.,Unit 08
kind,adjective,A2,Kind people do things to help others and show that they care about them.,That's very kind of you.,Unit 09
kind of,phrase,B2,"used when you are trying to explain or describe something, but you cannot be exact","But I've always had a, a kind of special feeling about the mountains.",Unit 12
know (that),verb,A1,to have information about something in your mind,I know that he worked in Gdansk.,Unit 12
lap,noun,B2,the top part of your legs when you are sitting down,I sat on my dad's lap.,Unit 12
laptop,noun,A2,a small computer that you can carry around with you,a laptop computer,Unit 13
large,adjective,A2,big,a large number of people,Unit 06
lasagne,noun,,a type of Italian food consisting of flat pieces of pasta with layers of meat and sauce in between,a ready-made lasagne or curry,Unit 03
late,adjective,A1,after the usual time or the time that was arranged,I was late for work this morning.,Unit 13
latest,adjective,A2,most recent,"To get the latest news, I go to Google News.",Unit 13
later,adverb,A2,after some time,"Forty minutes later, I arrived at La Guardia.",Unit 04
Latin America,noun,,the countries of South and Central America and Mexico,Music form Latin America.,Unit 01
laugh,verb,A2,to smile and make sounds with your voice because something is funny,You never laugh at my jokes.,Unit 09
laugh,noun,B1,when you smile and make sounds with your voice because something is funny,He gave a nervous laugh.,Unit 09
laundry,noun,B2,"clothes, sheets, etc that need to be washed",a laundry basket,Unit 10
leaflet,noun,,a piece of folded paper which has information,Have you got a leaflet?,Unit 07
learn,verb,A1,to get knowledge or skill in a new subject or activity,I learned how to play the steel drum when I was a little girl.,Unit 01
leather,noun,A2,the skin of animals that is used to make shoes and bags,a leather jacket,Unit 08
leave,verb,B2,to not take something with you when you go away from a place,"Thanks, but I'll leave them.",Unit 08
leave,verb,A1,to go away from a place or a situation,I left school when I was eighteen.,Unit 02
left,noun,A2,the left side,on your left,Unit 07
leisure centre,noun,A2,a building with a swimming pool and places where you can play sports,I go swimming at the local leisure centre.,Unit 06
lend,verb,A2,to give something to someone for a period of time,I lent my bike to Sara.,Unit 05
less than ,phrase,A2,not as much or as often as,They talk to each other less than they used to.,Unit 13
lettuce,noun,B1,"a plant with green leaves, which you eat in salads",Tomato and lettuce salad,Unit 03
light,adjective,A1,Light colours are pale.,It's light yellow.,Unit 08
light bulb,noun,B1,a glass object containing a wire which produces light from electricity,"If you use light bulbs in your kitchen, change to low-energy bulbs.",Unit 14
lightning bolt,noun,B1,a sudden flash of light in the sky during a storm,"A lightning bolt heats the air to about 30,000 °C. ",Unit 06
like,preposition,A2,similar to someone or something,It has wings like an aeroplane.,Unit 08
lime,noun,,"a small, green fruit that is sour like a lemon",We need some limes.,Unit 03
list,noun,A2,"a series of names, numbers, or items that are written one below the other",make a list,Unit 10
listen to,verb,A1,to give attention to someone or something in order to hear them,Listen to a radio interview.,Unit 12
live,verb,A1,to have your home somewhere,I was living in Frankfurt.,Unit 04
live,adjective,B1,A live performance is done with an audience.,live music,Unit 03
loan,noun,B1,money that someone borrows,They can get bigger loans if they make all their repayments.,Unit 05
local,adjective,B1,relating to an area near you,She goes to the local school.,Unit 01
location,noun,B1,a place or position,Have they decided on the location of the factory?,Unit 06
look,verb,A2,used to describe the appearance of a person or thing,He wasn't looking very happy.,Unit 04
look,noun,B1,when you look at someone or something,Can I have a look at those ones there?,Unit 01
look for,,A1,to try to find someone or something,I was looking for a little restaurant.,Unit 02
lost,verb,A2,PAST of lose,I've lost my keys.,Unit 09
love,verb,A1,to enjoy something very much or have a strong interest in something,I absolutely love it.,Unit 08
"Love, …",noun,A2,something you write at the end of a letter or email to a friend or member of your family,"Love, Pam",Unit 01
lovely,adjective,A2,very nice or enjoyable,We had a lovely day together.,Unit 01
low-energy,adjective,B1,"describes something, especially a light bulb, which uses less electricity to work","If you use light bulbs in your kitchen, change to low-energy bulbs.",Unit 14
made,verb,A2,PAST of make,It's made of clay.,Unit 08
magical,adjective,B2,special or exciting,It was a magical night.,Unit 01
main course,noun,A2,the largest or most important part of a meal,order a main course,Unit 03
make (+ comparative),verb,B1,to cause someone or something to be (+ comparative),It makes life easier.,Unit 13
make (+ date / time),verb,B1,to be able to go to an event,Can you make Saturday?,Unit 10
make (+ object + adjective),verb,B1,to cause someone or something to be (+ adjective),You use it to make water hot.,Unit 10
make (+ object + verb),verb,B1,to force someone or something to do something,Why do some illnesses make some people yawn.,Unit 10
make (food / drink),verb,A1,to produce or create something,Can I make myself a cup of coffee?,Unit 10
make friends,phrase,B1,to begin to know and like someone,He's shy and finds it difficult to make friends.,Unit 10
make it,phrase,B1,to arrive at a place at the right time,I'm sorry but I can't make it on Saturday.,Unit 10
make sure,phrase,A2,"to take action so that you are certain that something happens, is true, etc",Make sure you bring plenty of light clothes.,Unit 05
make the bed,phrase,,to make the sheets and covers on a bed tidy,I always make the bed in the morning.,Unit 06
management,noun,B2,"the people who are in control of an office, shop, team, etc",The management isn't very good either.,Unit 02
manager,noun,A2,"someone in control of an office, shop, team, etc",She's the manager of the local sports club.,Unit 01
marathon,noun,B2,a race in which people run for about 26 miles/42 km,Who wants to run in a marathon?,Intro Unit
market,noun,A2,"a place where people go to buy or sell things, often outside",a flower market,Unit 08
material,noun,B2,a solid substance from which things can be made,They'll use local materials for building.,Unit 07
maths,noun,A2,the study or science of numbers and shapes,I've done a maths course.,Unit 02
may,verb,A2,used to talk about what is possibly true or will possibly happen,Energy may become too expensive.,Unit 07
maybe,adverb,A2,possibly,Maybe she should talk to her.,Unit 05
meal,noun,A1,"when you eat, or the food that you eat at that time",a three-course meal,Unit 03
meat,noun,A1,"the soft parts of animals, used as food",I don't eat meat.,Unit 03
Mediterranean Sea,noun,,"the sea that has southern Europe, northern Africa, and the Middle East around it, or the countries around this sea",It’s on the Mediterranean coast.,Unit 12
medium,adjective,,cooked so that it is no longer red in the middle,"Medium, please.",Unit 03
meeting,noun,A2,"when people come together for a reason, usually to talk about something",I had a meeting with the sales team yesterday.,Unit 03
member,noun,A2,a person who belongs to a group or an organization,It's a member of the UN.,Unit 12
menu,noun,A2,a list of food and drinks that you can get in a restaurant,It has a good menu with lots of vegetarian dishes.,Unit 03
message,noun,A1,a piece of written or spoken information which one person gives to another,Would you like me to take a message?,Unit 02
metal,noun,B1,"a hard, shiny material such as iron, gold, or silver",It has two pieces of metal inside. ,Unit 08
meter,noun,,"a piece of equipment for measuring the amount of something such as electricity, time, or light",Do taxis in your city always use a meter?,Unit 04
microcredit,noun,,small amounts of money that very poor people borrow in order to start a small business. The money that the business makes then allows them to feed and look after themselves and their families.,He got a microcredit loan from the World Bank.,Unit 05
microwave,noun,B1,an electric oven that uses waves of energy to quickly cook food or make it warmer,Do you keep the microwave on standby?,Unit 14
Middle Eastern,adjective,,from the Middle East,Middle Eastern capitals include Baghdad and Tel Aviv.,Unit 03
might,verb,A2,used to talk about what will possibly happen,This might create two groups of people.,Unit 07
mile,noun,B1,"a unit for measuring distance, equal to 1609 metres or 1760 yards",Rachel's new job is 200 miles away.,Unit 09
military service,noun,B2,army training that young people must do in some countries,do military service,Unit 02
millilitre / ml,noun,,"a unit for measuring liquid, equal to 0.001 litres",Use 10 millilitres of vinegar.,Unit 06
mind,verb,B1,to be annoyed or worried by something,I don't mind the changing rooms.,Unit 06
miss,verb,A2,to regret that a person or thing is not present,At first life is difficult and you miss your home.,Unit 01
miss,verb,A2,to not go to something,I'll miss the lunch.,Unit 09
mistake,noun,A2,something that you do or think that is wrong,make a mistake,Unit 10
modern,adjective,A2,"using the newest ideas, design, technology, etc and not traditional",modern art/architecture,Unit 03
monster,noun,B1,"an imaginary creature that is large, ugly, and frightening",I used to believe that monsters lived under my bed.,Unit 13
moon,noun,A2,the round object that shines in the sky at night and moves around the Earth,I used to believe the moon followed me.,Unit 13
more,determiner,A1,used to form the comparative of many adjectives and adverbs,Daily chores may do you more good than going to the gym.,Unit 06
more than,quantifier,A1,a greater number or amount of people or things,There are now more than seven thousand other microcredit organisations around the world. ,Unit 05
more than ,adverb,B1,used to show that something happens a greater number of times than before,They talk to each other more than they used to.,Unit 13
mosque,noun,A2,a building where Muslims say their prayers,"When you go to a mosque, there are a few rules. ",Unit 05
motivational,noun,,giving you motivation,a motivational speaker,Unit 01
motorbike,noun,A2,a vehicle with two wheels and an engine,My dad had a motobike.,Unit 01
mozzarella,noun,,a soft white Italian cheese,mozzarella cheese,Unit 03
much (+ comparative),adverb,B1,a lot,People prefer to go to much hotter countries.,Unit 06
mushroom,noun,A2,"a type of fungus (=organism like a plant) with a short stem and a round top, some types of which can be eaten",I never eat mushrooms. ,Unit 03
name,noun,A1,"the word or group of words that is used to refer to a person, thing, or place","Er, what was your name again, please?",Unit 02
nation,noun,B2,a country or the people living in a country,They're a two-island nation in the Caribbean.,Unit 12
natural,adjective,B1,made or caused by nature and not by people or machines,natural gas,Unit 07
nature reserve,noun,B2,a place where animals and plants live and are protected,You work at the Nature Reserve.,Unit 14
nearly,adverb,A2,almost,"… in nearly 80,000 villages",Unit 05
need,verb,A1,"If you need something, you must have it, and if you need to do something, you must do it.",I need English for my work.,Intro Unit
need to,verb,A1,to have to,You'll need to cover your arms and legs.,Unit 05
never,adverb,A1,"not ever, not one time",I've never been very good with computers. ,Unit 02
next,adjective,A1,the (time) that follows the present one,What will you do the next time?,Unit 13
night school,noun,,classes for adults that are taught in the evening,I also study art history at night school.,Intro Unit
no more than,phrase,B1,less than,Grameen gives small loans - usually no more than US$100.,Unit 05
no one,pronoun,A2,no person,No one knows for sure where it came from.,Unit 08
noise,noun,A2,"a sound, often a loud, bad sound",Stop making so much noise!,Unit 05
noisy,adjective,A2,Noisy people or things make a lot of noise.,We've had problems with noisy neighbours.,Unit 03
normally,adverb,B1,usually,He normally cycles for 25 minutes to wash the clothes.,Unit 06
north,noun,A2,the direction that is on your left when you face towards the rising sun,It’s in the north of Italy.,Unit 12
note,noun,B1,a piece of paper money,Do you have any smaller notes?,Unit 05
now,adverb,A1,this time,Can you hear me now?,Unit 13
nowadays,adverb,B1,"at the present time, especially when compared to the past",People decide what news they get nowadays.,Unit 01
number,noun,B2,an amount,"Unfortunately, there are a number of problems.",Unit 11
nut,noun,B2,"the dry fruit of some trees which grows in a hard shell, and can often be eaten",a brazil nut,Unit 03
object,noun,B1,a thing that you can see or touch but that is not alive,"I could see a bright, shiny object in the sky.",Unit 08
ocean,noun,B1,one of the five main areas of sea,the Pacific Ocean,Unit 06
of course,phrase,A1,used to show that what you are saying is obvious,"Of course, that's not the same.",Unit 14
official,adjective,B2,agreed to or arranged by people in positions of authority,The official languages are Tuvaluan and English.,Unit 12
oil,noun,A2,a thick liquid produced from plants and animals that is used in cooking,Warm olives with oil and bread. ,Unit 03
oil,noun,B1,a thick liquid that comes from under the Earth's surface and that is used as a fuel,"Energy, especially oil, will be very expensive.",Unit 07
OK,noun,A2,used before you start speaking,"OK, so that's y dot karim at finadajob dot com dot au.",Unit 02
old-fashioned,adjective,B1,not modern,old-fashioned clothes,Unit 03
olive,noun,B1,a small green or black fruit that is eaten or used to make oil,black olives,Unit 03
olive oil,noun,B1,"oil made from olives, used for cooking or on salads",We need to buy some olive oil.,Unit 03
Olympic,adjective,,relating to the Olympic games,Win an Olympic medal.,Unit 01
Olympics,noun,,an international sports competition that happens every four years,I saw the Olympics on TV.,Unit 01
way,noun,A2,the route you take to get from one place to another,I was on my way to a conference.,Unit 04
on standby,phrase,,"When a person or a thing is on standby, they are ready to be used if necessary",Do you keep the microwave and other kitchen machines on standby?,Unit 14
on time,phrase,B1,not early or late,I always try to be on time but I'm sometimes late.,Unit 13
once or twice,phrase,,a few times,I got really stressed and sometimes only did it once or twice a week.,Unit 06
online,adverb,A2,"connected to a system of computers, especially the Internet",Why don't we go online?,Unit 01
only,adverb,A1,not more than a particular size or amount,Vegetables from every continent are only a few minutes away.,Unit 03
or something,phrase,A2,used to show that what you have just said is only an example or you are not certain about it,Bring some jumpers or a jacket or something for the evenings.,Unit 12
or whatever,phrase,,or something similar,"Yes, the blue one or your red one or whatever.",Unit 12
order,verb,A2,to ask for food or other things,Are you ready to order?,Unit 03
organise,verb,B1,to plan or arrange something,Do you organise tours of the city?,Unit 07
outdoors,adverb,B1,not inside a building,Would you prefer to work outdoors?,Unit 02
oven,noun,B1,a piece of kitchen equipment which is used for cooking food,an electric oven,Unit 14
over,adverb,A2,"more than an amount, number, or age","In 2007, Grameen Bank had over seven million customers …",Unit 05
own,adjective,A2,belonging to a particular person,We have our own instrument called the steel drum,Unit 01
oxygen,noun,B2,a gas in the air that people and animals must breathe,People yawn when their brains need more oxygen.,Unit 09
Pacific Ocean,noun,,the largest of the world's oceans,It’s a group of islands in the Paciﬁc Ocean.,Unit 12
packaging,noun,,"the paper, box, etc that something is inside so that it can be sold or sent somewhere",reduce packaging,Unit 14
paper,noun,A1,"thin, flat material used for writing on",Have you got a piece of paper?,Unit 08
parking,noun,B1,leaving a vehicle in a particular place for a period of time,free parking,Unit 10
parmesan cheese,noun,,a hard dry Italian cheese,parmesan cheese,Unit 03
part-time,adjective,B1,working or studying only for part of the day or the week,a part-time job,Unit 02
pass,noun,B1,an official document or ticket which shows that you have the right to go somewhere or use a particular form of transport,You have to show your pass when you get on the bus.,Unit 07
pass,verb,A2,to succeed at a test or an exam,I passed my exams - just!,Unit 02
passenger,noun,A2,"someone who is travelling in a car, aeroplane, etc, but not controlling the car, aeroplane, etc",a front-seat passenger,Unit 04
past,preposition,A2,up to and further than someone or something,Go past the palace.,Unit 07
past,noun,B1,the time before the present,"In the past, I'd go to a shop to buy the gift.",Unit 13
pasta,noun,A2,a food that is made from flour and water and is made in many different shapes,Spaghetti is my favourite pasta.,Unit 03
pay,noun,B1,the money you receive from your employer for doing your job,The pay's not great.,Unit 02
pay,verb,A1,to give money to someone because you are buying something from them,How would you like to pay?,Unit 05
peace and quiet,phrase,B1,"a calm, quiet situation",Perfect for people who love peace and quiet.,Unit 11
pear,noun,A2,"an oval-shaped, green or yellow fruit","Pear, apple and cheese salad.",Unit 03
pen friend,noun,A2,someone that you write letters to but have not met,Now they’re pen friends.,Unit 04
pepper,noun,A2,"a powder that is made from seeds, used to give food a slightly spicy flavour",salt and pepper,Unit 03
per,preposition,A2,for each,kilometres per hour,Unit 06
