word,pos,profile,definition,example,unit
documentary,noun,B1,a film or television programme that gives facts about a real situation,a TV documentary about climate change,Unit 10
dollar,noun,A1,"the unit of money used in the US, Canada, and some other countries; $",These jeans were fifty dollars.,Unit 09
dolphin,noun,B1,"an intelligent sea animal that breathes air and looks like a large, grey fish",We saw a dolphin out to sea.,Unit 13
don't,auxiliary verb,A1,used with another verb to form questions and negative phrases,I don't like bad news.,Unit 03
done,adjective,A2,finished or completed,Did you get your essay done in time?,Unit 13
door,noun,A1,the part of a building or room that you open or close to get inside it or out of it,Please shut the door behind you.,Unit 05
dose,noun,B2,a measured amount of medicine that is taken at one time or during a period of time,What is the recommended dose?,Unit 12
down,preposition,A2,towards or in a lower place,"I go down some steps and into a quiet, riverside park.",Unit 09
downstairs,adverb,A2,on or to a lower level of a building,She went downstairs to see who was at the door.,Unit 05
drama,noun,B1,a play in a theatre or on television or radio,a historical drama,Unit 07
drawer,noun,A2,a container like a box that is part of a piece of furniture and moves in and out,I put the letter away in a drawer.,Unit 05
dress,noun,A1,a piece of clothing for women which covers the top of the body and hangs down over the legs,She was wearing a simple red dress.,Unit 08
drink,noun,A1,a liquid or an amount of liquid that you drink,We always go for a drink.,Unit 02
drive,verb,A1,"to make a car, bus, or train move, and control what it does",She's learning to drive.,Unit 03
driver,noun,A1,someone who drives a vehicle,a bus/train driver,Unit 01
driving licence,noun,A2,an official document that allows you to drive a car,Do you have a driving licence?,Unit 04
DVD,noun,A1,"a small disc for storing music, films and information",Is this film available on DVD?,Unit 05
each other,pronoun,A2,used to show that each person in a group of two or more people does something to the others,We don't see each other a lot.,Unit 08
ear,noun,A1,one of the two things on your head that you hear with,She whispered something in his ear.,Unit 12
earache,noun,,pain in your ear,I've got earache.,Unit 12
early,adverb,A1,before the usual time or the time that was planned,I usually go to bed early.,Unit 03
east,noun,A2,the direction that you face to see the sun rise,I live in the east of the city.,Unit 05
easy,adjective,A1,not difficult,The exam was easy.,Unit 01
eat,verb,A1,to put food into your mouth and then swallow it,Who ate all the cake?,Unit 02
economics,noun,B1,"the study of the way in which trade, industry, and money are organized",She studied economics at university.,Unit 07
education,noun,B1,teaching and learning in a school or college,More money should be spent on education.,Unit 07
effectively,adverb,B2,in a way that is successful and achieves the result you want,Can you tell me how to work at home more effectively?,Unit 12
egg,noun,A1,"an oval object made by a female chicken, that you eat as food",a boiled/fried egg,Unit 05
Egypt,noun,,a country in Africa,We went to Egypt for our holidays.,Intro unit
elbow,noun,B1,the part in the middle of your arm where it bends,I banged my elbow on the edge of the table.,Unit 12
electronic,adjective,B1,"Electronic equipment consists of things such as computers, televisions, and radios.",All electronic equipment is tested for safety.,Unit 06
email,noun,A1,"a way of sending messages electronically, from one computer to another",What's your email address?,Intro unit
email,noun,A1,a message sent to a computer,He sent me an email today.,Intro unit
employee,noun,B1,someone who is paid to work for a person or company,How many employees does the firm have?,Unit 07
empty,adjective,A2,with nothing or no one inside,an empty house,Unit 02
end,noun,A1,the final part of something such as a period of time or an activity,I get my salary at the end of the month.,Unit 07
energy,noun,B1,the ability to be very active without becoming tired,Looking after children takes up a lot of time and energy.,Unit 12
engineer,noun,A2,"someone whose job is to design, build, or repair machines, engines, roads, bridges, etc",a mechanical engineer,Unit 07
engineering,noun,B1,"the work of an engineer, or the study of this work",She wants to study engineering.,Unit 07
English       ,noun,,"the language that is spoken in the UK, the US, and in many other countries",Do you speak English?,Intro unit
English       ,phrase,,the people of England,He found the English a little cold and reserved. ,Intro unit
enjoy,verb,A1,"If you enjoy something, you like doing it",I enjoy taking photos of people.,Unit 03
enough,pronoun,A2,as much as you need,That's not enough.,Unit 14
enough,quantifier,A2,as much as you need,Get enough exercise,Unit 14
entertain,verb,B1,to keep someone interested and help them to have an enjoyable time,We hired a clown to entertain the children.,Unit 12
entrance,noun,A2,a door or other opening which you use to go in somewhere,I'll meet you at the main entrance.,Unit 06
escalator,noun,B2,moving stairs that take people from one level of a building to another,We took the escalator down to the basement.,Unit 06
especially,adverb,A2,"more than other things or people, or much more than usual",I especially miss my dog.,Unit 07
essay,noun,B1,"a short piece of writing about a subject, especially one written by a student",He wrote an essay on modern Japanese literature.,Unit 07
Europe,noun,,a continent,She's never been outside of Europe.,Unit 05
evening class,noun,,a series of classes for adults that happens in the evening,He does evening classes in German.,Unit 13
ever,adverb,A2,at any time,Have you ever seen the Taj Mahal?,Unit 13
every,determiner,A1,used to show that something is repeated regularly,It's well paid and it's different every day.,Unit 01
everything,pronoun,A2,all things or each thing,Is that everything?,Unit 06
exactly,adverb,A2,used when you are giving or asking for information that is completely correct,I don't know exactly.,Unit 07
example,noun,A1,something that is typical of the group of things that you are talking about,It's useful to see an example of a word in a sentence.,Unit 06
exchange,verb,B1,when you give something to someone and they give you something else,Let's exchange business cards.,Unit 01
exciting,adjective,A1,making you feel very happy and interested,an exciting football match,Unit 04
Excuse me,phrase,A1,used to politely get someone's attention,"Excuse me, have you got a moment?",Unit 13
exercise,noun,A2,activity that you do with your body to make your body strong and healthy,It's good exercise.,Unit 09
exhibition,noun,B1,when things such as paintings are shown to the public,There's a new exhibition of sculpture on at the city gallery.,Unit 08
exit,noun,A2,the door which you use to leave a public building or place,a fire exit,Unit 06
expensive,adjective,A1,costing a lot of money,expensive jewellery,Unit 05
extra,adjective,A2,"more, or more than usual",Where are the extra bedclothes?,Unit 05
eye,noun,A1,"one of the two organs in your face, which you use to see with",Sara has black hair and brown eyes.,Unit 08
face,noun,A1,"the front part of the head where the eyes, nose, and mouth are","She's got a long, thin face.",Unit 12
factory,noun,A1,a place where things are made or put together,a textile factory,Unit 05
family,noun,A1,"a group of people who are related to each other, especially parents and children",I'm from a big family.,Unit 02
famous,adjective,A1,known by many people,a famous actress,Unit 13
fantastic,adjective,A2,very good,He looks fantastic in that suit.,Unit 10
far,adverb,A2,used to talk about how distant something is,Is it far?,Unit 09
Asia,noun,,a continent,"East Asia includes China, Japan and Korea.",Unit 05
farm,noun,A1,land and buildings used for growing crops and keeping animals,a sheep farm,Unit 05
fashion,noun,A2,the most popular style of clothes or behaviour at a particular time,Long hair is back in fashion.,Unit 08
design,noun,B1,the process of making drawings to show how something will be made,fashion design,Unit 07
fashionable,adjective,B1,popular at a particular time,fashionable clothes,Unit 08
fast,adjective,A1,quick,fast cars,Unit 09
father,noun,A1,your male parent,Steve's father was from Poland.,Intro unit
father-in-law,noun,B2,the father of your husband or wife,My father-in-law died recently.,Unit 08
favourite,adjective,A1,Your favourite person or thing is the one that you like best.,What's your favourite colour?,Unit 06
feel,verb,A1,to have an emotion or a physical feeling,You shouldn't feel embarrassed.,Unit 05
feel well,phrase,,to feel healthy,I'm not feeling well.,Unit 07
feet,noun,A1,plural of foot,He has very large feet.,Unit 12
female,adjective,B1,belonging to the sex that can have babies,a female butterfly,Unit 01
field,noun,A2,an area of land used for growing crops or keeping animals,a field of corn,Unit 05
film,noun,A1,a story shown at the cinema or on television,a cowboy film,Unit 04
find,verb,A1,to discover something or someone that you have been looking for,The office wan't very easy to find.,Unit 04
find,verb,B1,to become aware of something,I came home to find that the kitchen window had been smashed.,Unit 04
find,verb,B1,to think or feel a particular way about someone or something,I still find exams very stressful.,Unit 04
find out,phrasal verb,B1,"to get information about something because you want to know more about it, or to learn a fact or piece of information for the first time",to find out what a word means,Unit 06
fine,adjective,A1,"well, healthy, or happy",We're fine.,Unit 04
fine,phrase,A1,used to agree with a suggestion,Fine with me.,Unit 10
finger,noun,A2,one of the five long parts at the end of your hand,"She has long, slim fingers.",Unit 12
first,adjective,A1,coming before all others,Ken was the first person to arrive.,Intro unit
first,adjective,A1,1st written as a word,the first floor,Unit 05
first,adverb,B1,for the first time,I first went swimming six years ago.,Unit 04
fish,noun,A1,"an animal that lives only in water, swims, and can be eaten as food",Did you catch any fish?,Unit 06
fish,verb,A2,to try to catch fish,Happiness is going fishing on a boat with my friends.,Unit 03
fit,adjective,A2,"healthy, especially because you exercise a lot",Using the stairs keeps you fit.,Unit 12
five-star,adjective,,describes a hotel or resort of very high quality,a five-star hotel,Unit 11
flat,noun,A1,"a set of rooms to live in, with all the rooms on one floor",I live in a flat on my own.,Unit 02
flatmate,noun,,someone who you share a flat with,My flatmates arranged a party for me.,Unit 06
flight,noun,A2,a journey in an aircraft,Did you have a good flight?,Unit 11
floor,noun,A1,a surface that you walk on inside a building,a wooden floor,Unit 05
floor,noun,A2,a particular level of a building,the second/third floor,Unit 05
fly,verb,A1,to travel through the air in an aircraft,Do you like flying?,Unit 04
food,noun,A1,something that people and animals eat to keep them alive,baby/dog food,Unit 02
foot,noun,A1,one of the two flat parts on the ends of your legs that you stand on,bare feet,Unit 12
football,noun,A1,a game in which two teams of players kick a round ball and try to score goals,a football match/team,Unit 02
practice,noun,A2,when you repeat an activity to imporve your ability,football practice,Unit 10
for,preposition,A1,to be given to or used by someone or something,She cooks dinner for us at the weekend.,Unit 02
for,preposition,A2,having a particular purpose,He often comes here for work.,Unit 02
for,preposition,A1,used to show an amount of time or distance,I was a cook in a restaurant for a few months.,Unit 01
for,preposition,A2,meaning or representing something,P for Peter.,Unit 09
for life,phrase,,for the whole of a person's life,It wasn't a job for life.,Unit 01
forest,noun,A2,a large area of trees growing closely together,pine forest,Unit 05
forget,verb,A1,to not remember something,Don’t forget to pick up Mario.,Unit 06
form,noun,B2,a type of something or a way of doing something,What forms of transport do most people use where you live?,Unit 09
fountain,noun,B1,a structure that forces water up into the air as a decoration,There are some beautiful fountains in the park.,Unit 13
free,adjective,A2,not busy doing anything,Are you free on Saturday evening?,Unit 03
free,adjective,A2,not being used by anyone,I tried to sleep on some free seats.,Unit 11
free time,phrase,A2,time when you are not working and can do what you want,In my free time I like to read and go running.,Unit 03
French,adjective,,coming from or relating to France,I speak French.,Intro unit
fresh,adjective,B1,smelling clean or feeling cool,Fresh air is good for you.,Unit 12
fridge,noun,A2,a large cupboard that uses electricity to keep food cold,There's plenty of milk in the fridge.,Unit 05
friend,noun,A1,someone who you know well and like,Sarah's my best friend (=the friend I like most).,Unit 01
friendly,adjective,A2,"behaving in a pleasant, kind way towards someone",He's very friendly.,Unit 02
frightened,adjective,B1,afraid or nervous,I've always been frightened of going to the dentist.,Unit 11
from,preposition,A1,"used to say where someone was born, or where someone lives or works",I'm from Austria.,Intro unit
from,preposition,A1,used to say how far away something is,It's five minutes from the kids' school.,Unit 05
from ... to ...,phrase,A1,used to give information about periods of time and distances,The museum is open from Monday to Saturday.,Unit 09
fruit,noun,A1,"things such as apples or oranges that grow on a tree or a bush, contain seeds, and can be eaten as food",dried/fresh fruit,Unit 06
full,adjective,A2,"If a container or a space is full, it contains as many things or people as possible",My suitcase is full.,Unit 02
full,adjective,A2,containing a lot of things or people,a sky full of stars,Unit 14
full-time,adjective,B1,happening or working for the whole of the working week and not only part of it,I have a full-time job.,Unit 07
fun,noun,A1,"enjoyment or pleasure, or something that gives you enjoyment or pleasure",I had lots of fun.,Unit 04
funny,adjective,A1,making you smile or laugh,"Vikram's … creative, and sometimes very funny.",Unit 08
funny,adjective,B1,strange or unusual and not what you expect,It's funny because I'm 30 and she's 20 but our mum says we're like twins.,Unit 08
furnished,adjective,,"If a room is furnished, there is furniture in it.",a fully furnished apartment,Unit 05
furniture,noun,A2,"things such as chairs, tables, and beds that you put into a room or building",antique furniture,Unit 05
further,adverb,B1,far: at or to a place or time that is a longer distance away,Let's walk a bit further down the road.,Unit 09
furthest,adverb,B1,far: most distant,What is the furthest distance you can run?,Unit 09
garden,noun,A1,"an area of ground next to a house, often with grass, flowers, or trees",the front/back garden,Unit 05
garlic clove,noun,A2,one separate part in a  root of garlic (=plant with a strong taste used in cooking),How many cloves of garlic go in this sauce?,Unit 12
give,verb,A1,to provide someone with something,Can you tell him to give it to her?,Unit 06
geography,noun,A2,"the study of all the countries of the world, and of the surface of the Earth such as the mountains and seas",I used to love geography at school.,Unit 07
German ,adjective,,coming from or relating to Germany,She has a German boyfriend.,Intro unit
get,verb,A1,to arrive somewhere,Can we talk when I get home?,Unit 09
get,verb,B1,to become ill,Try this if you get stomach ache,Unit 09
get,verb,A1,to obtain or buy something,Where's the best place to get a good cup of coffee?,Unit 09
get,verb,A2,to go somewhere and bring back someone or something,Did you get some U.S dollars for me?,Unit 09
get,verb,A1,to receive something,How many emails do you get a day?,Unit 09
get in touch,phrase,B1,"to communicate with someone by telephoning, or writing to them",We get in touch maybe twice a year.,Unit 08
get off,phrasal verb,A2,"to leave a train, bus or aircraft",Get off at East Broadway Station.,Unit 09
get on,phrasal verb,B1,"If two or more people get on, they like each other and are friendly with each other",I get on with my sister really well.,Unit 08
get together,phrasal verb,B1,to meet in order to do something or spend time together,Let's get together again soon.,Unit 10
get up,phrasal verb,A1,"to wake up and get out of bed, or to tell or help someone to do this",What time did you get up this morning?,Unit 04
gift,noun,A2,"something that you give to someone, usually on a special day",a birthday/wedding gift,Unit 14
gift,noun,,a natural ability,She has a gift for design.,Unit 14
gift shop,noun,,a shop which sells things that people can give as presents,There's a very nice gift shop in the museum.,Unit 09
girlfriend,noun,A2,a woman or girl who someone is having a romantic relationship with,Have you met Steve's new girlfriend?,Unit 01
glass,noun,A1,a container made of glass that is used for drinking,a glass of apple juice,Unit 02
glasses,noun,A1,a piece of equipment with two transparent parts that you wear in front of your eyes to help you see better,a pair of glasses,Unit 08
go,verb,A1,to move or travel somewhere,I'd love to go to America.,Unit 03
go,verb,A1,to move or travel somewhere in order to do something,Let's go for a walk.,Unit 03
go,verb,A1,to move or travel somewhere in order to do something,Where do you go shopping?,Unit 03
go out with,phrasal verb,B1,"If two people go out together, they have a romantic relationship with each other.",She's going out with Paul.,Unit 03
going to,phrase,A2,"If you are going to do something, you will do it in the future.",I'm going to stay in China for another few years.,Unit 03
good,adjective,A1,enjoyable or nice,a good book; It's good to meet you,Unit 01
good,adjective,A1,of a high quality,The food at this restaurant is very good.,Unit 01
good,adjective,A1,able to do something well,Anna is a good cook.,Unit 01
good,adjective,A1,kind or helpful,She's a good friend.,Unit 01
good,adjective,A1,something you say when you are pleased about something,"Oh good, he's arrived at last.",Unit 03
good for you,phrase,B1,having a good effect on your health,Carrots are good for you.,Unit 06
get divorced,verb,B1,to officially stop being married,They got divorced in 2009.,Unit 14
get married,verb,A2,to begin a legal relationship with someone as their husband or wife,"They're getting married next month,",Unit 04
government,noun,B1,the group of people who officially control a country,The Government has cut taxes.,Unit 09
graded reader,noun,,one of a series of books for students to read in which the level goes from easy to difficult,They publish graded readers for English students.,Unit 14
grammar,noun,A2,"the way you combine words and change their form and position in a sentence, or the rules of this",,Unit 04
grandfather,noun,A2,the father of your mother or father,My grandfather was Russian.,Unit 08
grandmother,noun,A2,the mother of your mother or father,My grandmother lived with my mother's family.,Unit 08
great,adjective,A1,very good,"It's a great job, really.",Unit 01
green,adjective,A1,being the same colour as grass,She's got green eyes.,Unit 08
greeting,noun,B1,something friendly or polite that you say or do when you see someone,We exchanged greetings.,Unit 01
grow up,phrasal verb,A2,to become older or an adult,She grew up in Italy.,Unit 13
ground floor,noun,B1,the level of a building which is on the ground,They have a flat on  the ground floor,Unit 05
group,noun,A1,a number of people or things that are together in one place,She was with a group of friends.,Unit 14
guest,noun,A2,someone who comes to visit you,We've got some guests coming this weekend.,Unit 02
guide,noun,B1,a book that gives information about something or tells you how to do something,Look at this restaurant guide.,Unit 13
gum,noun,B1,a sweet substance that you chew but do not swallow,Would you like a stick of chewing gum?,Unit 14
gun,noun,B1,a weapon that you fire bullets out of,Someone fired a gun into the crowd.,Unit 11
gym,noun,B1,a building with equipment for doing exercises,Nick goes to the gym three times a week.,Unit 03
had,verb,A1,have,We've never had a TV at home.,Unit 04
have a baby,phrase,A2,to give birth to a baby,They had a baby last year.,Unit 04
hair,noun,A1,"the thin, thread-like parts that grow on the head and body of people and animals","a girl with long, fair hair",Unit 08
hairstyle,noun,,the style of someone's hair,Do you like my new hairstyle?,Unit 08
hamburger,noun,,"a round, flat shape of meat which is eaten between round pieces of bread",a hamburger and fries,Unit 13
hand,noun,A1,the part of your body on the end of your arm that has fingers,good for people who like working with their hands,Unit 07
hand luggage,noun,,small bags that you can carry onto an aircraft with you when you travel,Do you have any hand luggage?,Unit 11
happen,verb,A2,"If an event or situation happens, it exists or starts to be done.",Accidents can happen to anyone.,Unit 04
happiness,noun,B1,the feeling of being happy,At last she had found happiness.,Unit 03
happy,adjective,A1,"pleased and in a good mood, especially because something good has happened",She looked really happy.,Unit 08
hard-working,adjective,,doing a job seriously and with a lot of effort,He's always been hard-working and conscientious.,Unit 08
have,verb,A1,to own something,We have a nice living room.,Unit 02
have,verb,A1,to eat or drink something,What time did you have breakfast?,Unit 04
have,verb,A1,"If you have a sister, brother, etc. they are in your family.",Do you have a big family?,Unit 04
have,verb,A2,used with the past participle of another verb to make the present and past perfect tenses,I've never been to Canada.,Unit 13
have,verb,A2,used with nouns to say that somebody does something,have a shower,Unit 04
have got,verb,A1,to own something,She's got a green Toyota.,Unit 08
head,noun,A1,"the part of your body which contains your brain, eyes, ears, mouth, nose, etc",He fell and hit his head on the table.,Unit 12
headache,noun,A2,pain inside your head,I've got a bad headache.,Unit 12
headphones,noun,,a piece of equipment that you wear over your ears so that you can listen to music,a pair of headphones,Unit 04
heads,phrase,,the side of a coin that has a picture of someone's head on it,Heads or tails?,Unit 14
health,noun,A2,the condition of your body,Her health is very poor.,Unit 03
healthy,adjective,A2,not ill,Maria is a normal healthy child.,Unit 06
healthy,adjective,A2,good for your health,a healthy diet,Unit 06
hear,verb,B1,to be told some information,It's good to hear from you.,Unit 04
heard of,phrasal verb,B2,to know that someone or something exists,Have you heard of Petra in Jordan?,Unit 13
heart,noun,A2,the thing inside your chest that sends blood around your body,My heart was beating fast.,Unit 12
heavy,adjective,A2,Heavy objects weigh a lot.,heavy bags,Unit 02
heavy,adjective,A2,used to say how much someone or something weighs,How heavy are you?,Unit 02
heavy,adjective,B1,large in amount or degree,heavy traffic,Unit 02
heel,noun,B2,the back part of your foot,I have a blister on my heel.,Unit 08
Hello,exclamation,A1,said when you meet someone or start talking with someone,"Hello, Christina, how are you?",Intro unit
Hello,exclamation,A1,used when you start speaking on the telephone,"Hello, this is Alex.",Intro unit
help,verb,A2,to do something for someone,The right colour helps you to be be more creative.,Unit 12
help,noun,A1,when someone does something for another person,Do you need any help?,Unit 06
her,pronoun,A1,used to mean a woman or girl who you have already talked about,Where's Kath - have you seen her?,Unit 03
her,determiner,A1,belonging to a woman or girl who you have already talked about,That's her house on the corner.,Intro unit
herb,noun,B1,a plant that is used in cooking to add flavour to food,They sell a good range of herbs and spices.,Unit 06
here,adverb,A1,in the place where you are,"Sorry, he isn't here at the moment.",Unit 03
Here you are.,phrase,A2,used when you are giving someone something,"Have you got the paper? ""Here you are.""",Unit 11
Hi,exclamation,A1,hello,Hi! How are you?,Intro unit
high heels,noun,,women's shoes with heels raised high off the ground,She was in high heels.,Unit 08
high in,phrase,B1,"If someone's diet is high in a particular thing, they eat a lot of that thing.",a diet that is high in carbohydrates,Unit 06
hill,noun,A2,a high area of land that is smaller than a mountain,They climbed up the hill to get a better view.,Unit 05
his,determiner,A1,belonging to a man or boy who you have already talked about,Phillip is sitting over there with his daughter.,Intro unit
history,noun,A2,events that happened in the past,American history,Unit 07
history,noun,A2,the study of events in the past,a history book,Unit 07
hobby,noun,A2,an activity that you like and often do when you are not working,Do you have any hobbies?,Unit 14
home town,noun,,the town or city that you come from,My home town is Cairo.,Intro unit
honey,noun,A2,"a sweet, sticky food that is made by bees",I like honey on my toast.,Unit 12
hope,verb,A2,to want something to happen or be true,I hope you're well.,Unit 04
hope,noun,B1,"a good feeling about the future, or something that you want to happen",What are your hopes and plans for the future?,Unit 12
horror film,noun,B1,a film that entertains people by shocking or frightening them,He's a big fan of horror films.,Unit 10
hospital,noun,A1,a place where ill or injured people go to be treated by doctors and nurses,He was in hospital for two weeks.,Unit 05
hot,adjective,A1,very warm,a hot summer's day,Unit 01
hotel,noun,A1,a place where you pay to stay when you are away from home,We're staying three nights in the hotel.,Unit 01
hour,noun,A1,a period of time equal to 60 minutes,It's a six-hour flight.,Unit 07
house,noun,A1,"a building where people live, usually one family or group",We went to my aunt's house for dinner.,Unit 02
house-sit,verb,,to stay in someone else's house and look after the house while they are away,Do you ever house-sit for friends or family?,Unit 05
How about …?,phrase,A2,used to make a suggestion,How about six thirty?,Unit 10
far,adjective,A2,used to talk about how distant something is,How far is it?,Unit 09
How long,,A2,used when asking or giving information about the distance or time of something,How long was the First World War?,Unit 02
How many …?,phrase,A1,used in questions to ask about the number of something,How many times a week do they travel?,Unit 05
how much?,,A1,"in questions, much is used to ask about the amount of something","Sorry, how much?",Unit 01
How are you?,phrase,A1,used to ask someone if they are well or happy,How are you?,Unit 01
How,adverb,A2,used to ask about the way something is done,How do you  spell that?,Intro unit
hug,verb,B1,"to put your arms around someone and hold them, usually because you love them",They hugged and kissed each other.,Unit 01
humanities,noun,,"subjects that you study which are not connected with science, such as literature and history",,Unit 07
Hungarian,adjective,,coming from or related to Hungary,He married a Hungarian woman.,Intro unit
hungry,adjective,A1,wanting or needing food,I'm hungry. What's for dinner?,Unit 06
hurt,verb,A2,"If a part of your body hurts, it is painful.",My eyes really hurt.,Unit 12
husband,noun,A1,the man you are married to,My husband is away at the moment.,Unit 01
I,pronoun,A1,used when the person speaking or writing is the subject of the verb,I've bought some chocolate.,Intro unit
I'll have…,phrase,A1, said in a restaurant to a waiter or waitress to tell them what food you have chosen,"I'll have the fish, thanks.",Unit 06
I'm afraid …,phrase,A2,used to politely tell someone something bad or to politely disagree with someone,I'm afraid I'm not interested.,Unit 07
I'm sorry.,phrase,B2,used to show politeness when refusing something or disagreeing,"No, I'm sorry. I can't.",Unit 03
idea,noun,A2,a suggestion or plan,That's a good idea.,Unit 06
idea,noun,B2,"an understanding, thought, or picture in your mind",This makes new connections in your brain and can help you get new ideas.,Unit 14
if,conjunction,A2,used to talk about something that might happen or be true,There are some extra towels in the wardrobe if you need them.,Unit 05
if,conjunction,B1,used to mean 'always' or 'every time',"If you get stomach ache, try this remedy.",Unit 12
image,noun,B2,the way that other people think someone or something is,They want to improve the public image of the police.,Unit 08
immediately,adverb,A2,"now, without waiting",The room is available immediately.,Unit 05
important,adjective,A1,"valuable, useful, or necessary",My family is very important to me.,Unit 04
improve,verb,A2,to get better or to make something better,Scott's behaviour has improved a lot lately.,Unit 12
in,preposition,A1,inside a container or place,We were neighbours in Melbourne.,Unit 05
in,preposition,A1,during a period of time,My birthday is in October.,Unit 02
in,preposition,B1,expressed or written in a particular way,Can you do these things in English?,Unit 02
in the end,phrase,B1,finally,"We thought we might go abroad for Christmas, but in the end we stayed at home.",Unit 11
be in the middle ofmiddle,noun,B1,to be busy,"Sorry, but I'm in the middle of dinner.",Unit 07
in the morning,phrase,A1,during the early part of the day,I listen to the radio in the morning.,Unit 03
in the morning,phrase,B1,tomorrow morning,I'll pack my bags in the morning.,Unit 03
included,adjective,A2,"contained in something, especially a price,  as part of it",Is heating included in the rent?,Unit 05
independent,adjective,B1,not wanting or needing anyone else to help you,She's a very independent four-year-old.,Unit 08
Indian,noun,,someone from India,The class includes six Indians.,Unit 13
information,noun,A2,"facts about a situation, person, event, etc",Do you have any information about local schools?,Unit 02
inhale,verb,,"to breathe air, smoke, or gas into your lungs",People who had inhaled the fumes were taken to hospital.,Unit 12
intelligent,adjective,B1,able to learn and understand things easily,She is a highly intelligent young woman.,Unit 08
interested in,adjective,A2,wanting to give your attention to something and discover more about it,Melek is interested in music.,Unit 02
interesting,adjective,A1,keeping your attention,an interesting person,Unit 01
international,adjective,A2,relating to or involving two or more countries,an international team of scientists,Unit 07
internet,noun,A1,a system that connects computers around the world so you can share information with other people,Check out this music website on the Internet.,Intro unit
into,preposition,A1,towards the inside or middle of something,Get into bed!,Unit 09
invention,noun,B1,something that has been designed or made for the first time,A lot of great inventions have come from America.,Unit 04
inventor,noun,B2,someone who designs and makes new things,a famous inventor,Unit 04
invitation,noun,A2,when someone asks you if you would like to do something,I've had an invitation to Celia's party.,Unit 03
invite,verb,A1,"to ask someone to come to your house, to a party, etc.",They've invited us to the wedding.,Unit 03
Ireland,noun,,a country in Europe,She's from Ireland.,Unit 02
is,verb,A1,present simple he/she/it of be,It is quite easy.,Unit 01
island,noun,A2,an area of land that has water around it,the Hawaiian Islands,Unit 05
IT,noun,A2,the use of computers and other electronic equipment to keep and send information,He's an IT technician.,Unit 01
it,pronoun,A1,"used to mean the thing, situation, or idea that has already been talked about","Have you seen my bag? ""It's in the hall.""",Intro unit
it,pronoun,A1,"used before some adjectives, nouns, or verbs to introduce an opinion or description of a situation",It's OK to talk about politics with friends.,Unit 03
it,pronoun,A2,"used with the verb 'be' in sentences giving the time, date, weather or distances",It's cold here.,Unit 02
Italian,adjective,,coming from or relating to Italy,Italian food,Unit 13
its,determiner,A1,belonging to or relating to the thing that has already been talked about,The house has its own swimming pool.,Intro unit
jacket,noun,A2,a short coat,a leather jacket,Unit 08
Japan,noun,,a country consisting of a group of islands near the east coast of Asia,"Yuko is in Japan, visting her family.",Intro unit
Japanese ,adjective,,coming from or relating to Japan,Japanese design,Intro unit
jewel,noun,B2,a valuable stone that is used to make jewellery,a crown studded with jewels,Unit 08
jewellery,noun,A2,"objects made from gold, silver, and valuable stones that you wear for decoration",She has a lot of valuable jewellery.,Unit 08
job,noun,A1,the work that you do in order to get money,She got a job as a cleaner.,Unit 01
journalism,noun,B2,"the work of writing for newspapers, magazines, television, or radio",He wants a job in journalism.,Unit 07
journalist,noun,B1,someone whose job is journalism,She's a journalist on a national paper.,Unit 01
journey,noun,A2,when you travel from one place to another,a train journey,Unit 04
junk food,noun,B2,food which is bad for your body but quick to eat,You eat too much junk food.,Unit 14
just,adverb,B1,only,Just this bag.,Unit 11
just,adverb,B1,used to make something you are saying strong,I just hate shopping.,Unit 06
keep,verb,A2,to remain in a particular state or to make someone or something remain in a particular state,Using the stairs keeps you fit.,Unit 12
key,noun,A1,a piece of metal that you use for locking doors or for starting engines,I've lost my car keys.,Unit 04
kilometre,noun,A2,"a unit for measuring distance, equal to 1000 metres",It's about fifty kilometres from the sea.,Unit 09
kind,noun,A1,a type of thing or person,What kind of food do you like?,Unit 04
kiss,verb,A2,to put your lips against another person's lips or skin because you love or like them,He kissed her cheek.,Unit 01
kitchen,noun,A1,a room used to prepare and cook food in,"He's in the kitchen, making dinner.",Unit 02
kiwi fruit,noun,,"a small, green fruit with black seeds and brown, hairy skin",Kiwi contain a lot of vitamin C.,Unit 06
km,,,written abbreviation for kilometre,It's 800 km away.,Unit 05
knee,noun,B1,the middle part of your leg where it bends,a knee injury,Unit 12
know,verb,A1,to have information about something in your mind,I don't know.,Unit 07
know,verb,B1,"to be familiar with a person, place or thing because you have met them, been there, used it, etc before",We know each other very well.,Unit 08
lake,noun,A2,a large area of water which has land all around it,Lake Ladoga,Unit 05
lamb,noun,B1,meat from a young sheep,roasted lamb,Unit 06
lamp,noun,A2,an object that makes light,I have a lamp next to my bed.,Unit 05
land,verb,B1,"if an aircraft lands, it arrives on the ground after a journey, and if you land it, you make it arrive on the ground",The plane landed at nine o'clock.,Unit 11
language,noun,A1,the words used by the people of a country,How many languages do you speak?,Intro unit
laptop,noun,A2,a small computer that you can carry around with you,He works on his laptop on the train.,Unit 04
large,adjective,A2,big,a large number of people,Unit 12
last,adjective,A1,the most recent,last week,Unit 04
last,adverb,A2,after everything or everyone else,last thing at night,Unit 07
last,adverb,A2,used to talk about the most recent time you did something,I last went to Browne's ten years ago.,Unit 13
last,phrase,A2,a person or thing that comes after all the others,The last born child is often quite creative.,Unit 08
late,adjective,A1,after the usual time or the time that was arranged,I'm sorry I'm late.,Unit 01
later,adjective,A2,after some time,Can I call you later?,Unit 07
